"id","name","name","name","original_release_date","image"
13973,"Open, Sesame!","Bit Corp","Platformer","1982-01-01","http://media.giantbomb.com/uploads/1/15562/623285-open_sesame_re_release_cart_2_thumb.jpg"
14272,"Philly Flasher/Cathouse Blues","PlayAround","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/635133-b_phillyflashercathouseblues_back_thumb.jpg"
14347,"Floppy Frenzy","Windmill Software","Action","1982-01-01","/images/unknown.jpg"
23718,"Alien","20th Century Fox","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/634105-b_alien_front_thumb.jpg"
24604,"Ocean Battle","Emerson Radio Corporation","Action","1982-01-01","http://media.giantbomb.com/uploads/1/14755/820412-front_cover_thumb.jpg"
24605,"Alien Invader","Emerson Radio Corporation","Shoot 'Em Up","1982-01-01","http://media.giantbomb.com/uploads/1/14755/820414-front_cover_thumb.jpg"
29315,"K-Razy Antiks","K-Byte","Action","1982-01-01","/images/unknown.jpg"
22072,"Deadline","Infocom","Adventure","1982-03-03","http://media.giantbomb.com/uploads/0/9925/300132-200px_deadline_box_art_thumb.jpg"
4527,"Parsec","Texas Instruments","Shoot 'Em Up","1982-06-15","http://media.giantbomb.com/uploads/0/1992/279203-scan0009_thumb.jpg"
22001,"Chisholm Trail","Texas Instruments","Action","1982-06-15","http://media.giantbomb.com/uploads/0/1992/280106-scan0004_thumb.jpg"
3338,"Zork III: The Dungeon Master","Infocom","Adventure","1982-08-18","http://media.giantbomb.com/uploads/0/1987/616291-zork_iii___the_dungeon_master___front_thumb.jpg"
14677,"Starcross","Infocom","Text Adventure","1982-09-01","http://media.giantbomb.com/uploads/0/1136/1330606-starcrossbox_thumb.jpg"
21595,"E.T. The Extra-Terrestrial","Atari","Action","1982-09-01","http://media.giantbomb.com/uploads/0/26/316516-et2600box_thumb.jpg"
10014,"Pitfall!","Activision","Platformer","1982-09-06","http://media.giantbomb.com/uploads/7/73888/1478903-pitfall_front_thumb.jpg"
